t,x
0.0,2.0
0.01,1.938553256203455
0.02,1.903766532413332
0.03,1.8352535489035824
0.04,1.856587625881999
0.05,1.8045660031364392
0.06,1.937438473616091
0.07,1.8544967352545036
0.08,1.7758835037670742
0.09,1.673860403705465
0.1,1.7108897335272362
0.11,1.6220688134411607
0.12,1.7130961005602277
0.13,1.6544553403295594
0.14,1.7190216615674903
0.15,1.8770679591189
0.16,1.816562060957127
0.17,1.5705876975153203
0.18,1.6282284865961583
0.19,1.684886873497038
0.2,1.6851589794333246
0.21,1.6904364668299514
0.22,1.7894592152140243
0.23,1.6617933810688363
0.24,1.6645041198272548
0.25,1.8160823291468573
0.26,1.7731936295014434
0.27,1.7712334812091945
0.28,1.76697689370921
0.29,1.855058240357242
0.3,1.7292777194622593
0.31,1.7022874507020096
0.32,1.7761141105578326
0.33,1.8818706682918696
0.34,1.791658433461591
0.35000000000000003,1.8310224308891108
0.36,1.8190540170340153
0.37,1.8573656497625222
0.38,1.9824999945912174
0.39,1.8619766374285815
0.4,1.797927071960427
0.41000000000000003,1.7790403075966374
0.42,1.6172969416023975
0.43,1.4848342025409393
0.44,1.4755269435201448
0.45,1.5341986355779378
0.46,1.5546740436718847
0.47000000000000003,1.5248882656670235
0.48,1.5347872679784376
0.49,1.5832319479136279
0.5,1.6239648157018995
0.51,1.5155433464586963
0.52,1.4006252030540542
0.53,1.4797350920159509
0.54,1.3502810018756208
0.55,1.433553121575174
0.56,1.4951662188937618
0.5700000000000001,1.4477943865182854
0.58,1.464401330783702
0.59,1.5255497086694219
0.6,1.5045907801780718
0.61,1.4489345844823853
0.62,1.510286421743579
0.63,1.5641486378652345
0.64,1.6577683005357686
0.65,1.5802260522852292
0.66,1.6130600581078216
0.67,1.617979515200619
0.68,1.701614579214385
0.6900000000000001,1.6820493408930495
0.7000000000000001,1.6030614395517229
0.71,1.6345306385705094
0.72,1.504491084859385
0.73,1.431393315474471
0.74,1.4254469155502418
0.75,1.5269867046093608
0.76,1.4188613051177577
0.77,1.3892752435787827
0.78,1.3632750789418628
0.79,1.2128394585994955
0.8,1.2545638250579099
0.81,1.216734871934197
0.8200000000000001,1.2037334376519433
0.8300000000000001,1.2297200092548808
0.84,1.1410281239564464
0.85,1.0559324487421393
0.86,1.178153521801328
0.87,1.1849189197891772
0.88,1.281898834340868
0.89,1.4060191073198272
0.9,1.443434579986194
0.91,1.3742863587038594
0.92,1.5302631253872947
0.93,1.5170563315981416
0.9400000000000001,1.4781870545104288
0.9500000000000001,1.517650158110358
0.96,1.5953739460574556
0.97,1.6442033222747978
0.98,1.6185726766211106
0.99,1.6982290072702173
1.0,1.6437027585843007
1.01,1.681064096528949
1.02,1.6662446842724146
1.03,1.5970713545673958
1.04,1.659086878036463
1.05,1.7036563713566526
1.06,1.6665791463956159
1.07,1.6263455882667222
1.08,1.6423794720896263
1.09,1.727117471962953
1.1,1.8462609844324769
1.11,1.8122781638369574
1.12,1.8707936061637604
1.1300000000000001,1.958745315656106
1.1400000000000001,1.8754224046739056
1.1500000000000001,1.8729404088213195
1.16,1.76073183757315
1.17,1.7586978690352562
1.18,1.8198845142464124
1.19,1.8505612501501834
1.2,1.9281778915120777
1.21,1.9394445429547493
1.22,1.8517677536784334
1.23,1.853234215880305
1.24,1.9761488490548007
1.25,1.8824131632025216
1.26,2.06227234600252
1.27,2.0579185632682266
1.28,2.0511229257546213
1.29,1.9809324695377608
1.3,2.101947196626431
1.31,1.8507733687927252
1.32,1.897221068289036
1.33,2.020114828963371
1.34,2.033636339447112
1.35,2.0581949690173658
1.36,2.220619195891418
1.37,2.119176491156511
1.3800000000000001,2.186101910694857
1.3900000000000001,2.1186129854719167
1.4000000000000001,2.120016498468529
1.41,2.224100469854322
1.42,2.1638298639334845
1.43,2.1941901012482976
1.44,2.108826301748999
1.45,2.1010641439551505
1.46,2.1491532739874684
1.47,2.1912172923587154
1.48,2.16368783795601
1.49,2.150851531712372
1.5,2.168104187793163
1.51,2.141933239844299
1.52,2.0914714978102436
1.53,2.2674915048799225
1.54,2.2859249920253513
1.55,2.2128528925052806
1.56,2.4643532647263675
1.57,2.522188144392107
1.58,2.48198172164201
1.59,2.4954250204255564
1.6,2.460506350323349
1.61,2.559964963638655
1.62,2.659122643848917
1.6300000000000001,2.5193560327421123
1.6400000000000001,2.424362412226673
1.6500000000000001,2.4302628319958117
1.6600000000000001,2.3540253658887527
1.67,2.338729780989681
1.68,2.329789221652179
1.69,2.4355099624729486
1.7,2.5475129357837116
1.71,2.622957020842034
1.72,2.536540777753262
1.73,2.5118691937702287
1.74,2.4599905310677297
1.75,2.4697841372410227
1.76,2.4778254586218513
1.77,2.4590077196122344
1.78,2.523016583457146
1.79,2.5428457989370137
1.8,2.4820997422666164
1.81,2.5276461988417096
1.82,2.5350312335325262
1.83,2.5561213806525274
1.84,2.597101281028529
1.85,2.573261988144357
1.86,2.643066985988399
1.87,2.593247326703117
1.8800000000000001,2.781517194087216
1.8900000000000001,2.8562084650326844
1.9000000000000001,2.9362087042518925
1.9100000000000001,2.8584031995377233
1.92,2.876929116050982
1.93,2.7886659918214307
1.94,2.7145566256518636
1.95,2.7597610996317488
1.96,2.884537858884501
1.97,2.9082941721943865
1.98,2.951408257597455
1.99,2.872152196184263
2.0,2.68704821642513
2.0100000000000002,2.833868353915977
2.02,2.7189727166058932
2.0300000000000002,2.6542255201748324
2.04,2.6427825651494543
2.05,2.47396521267393
2.06,2.336004087287731
2.07,2.332987854044343
2.08,2.241488373618105
2.09,2.2139709052958367
2.1,2.2695198636960865
2.11,2.273248700327166
2.12,2.2629465998332416
2.13,2.2859229024613
2.14,2.1360228304763154
2.15,2.095441650812338
2.16,2.2688424617281675
2.17,2.356069830421857
2.18,2.328688861223648
2.19,2.1872911534851425
2.2,2.1506595976748595
2.21,2.1848761848553147
2.22,2.0972199044564075
2.23,2.2324928116997946
2.24,2.153428726505087
2.25,2.120046720759738
2.2600000000000002,2.103136162734875
2.27,2.1336816966885164
2.2800000000000002,2.1119378469413435
2.29,2.324463677387132
2.3000000000000003,2.1914639243936587
2.31,2.2358335179159963
2.32,2.2727049179519643
2.33,2.1550823948333
2.34,2.1103180597937463
2.35,2.0201649415525598
2.36,1.928128840545009
2.37,1.9325807812702667
2.38,2.0317820884611755
2.39,1.9626617646422246
2.4,1.991608970603908
2.41,1.963807480827692
2.42,1.827775028026272
2.43,1.7863485606676641
2.44,1.768087739469645
2.45,1.9511887947143922
2.46,1.9573412274693438
2.47,1.927796895526655
2.48,1.9575405650367212
2.49,2.0334820944169474
