t,S,I,R
5.637383966704079,431,48,21
5.721374329187374,431,47,22
5.7443485023215946,431,46,23
5.772901345886213,431,45,24
5.847622085062322,430,46,24
5.91544555382236,429,47,24
5.988200241873101,428,48,24
6.01277407898268,428,47,25
6.065100301740002,428,46,26
6.077390944028329,427,47,26
6.078452573495856,426,48,26
6.089914114202655,426,47,27
6.105021890350585,426,46,28
6.116624744003172,425,47,28
6.1180091225926105,424,48,28
6.194225719134502,424,47,29
6.205731666180828,424,46,30
6.2203860113042335,423,47,30
6.293841094610142,423,46,31
6.296658170020814,422,47,31
6.3041583373605965,422,46,32
6.312612560076903,422,45,33
6.451860587481275,421,46,33
6.4754404564230965,421,45,34
6.478530541578113,421,44,35
6.547662457630552,421,43,36
6.567946839241961,420,44,36
6.5899343117363935,419,45,36
6.597841924658203,418,46,36
6.72804473373247,417,47,36
6.741221340764077,417,46,37
6.8159527469166425,417,45,38
6.838421400688148,416,46,38
6.910900703903762,415,47,38
6.956591227668769,414,48,38
7.0562806911093165,413,49,38
7.067121450620096,412,50,38
7.092584798437388,411,51,38
7.095023168197195,411,50,39
7.195056798269962,410,51,39
7.209830515233352,410,50,40
7.237107610284814,409,51,40
7.247636222016789,409,50,41
7.252810830999969,408,51,41
7.292405551585486,407,52,41
7.310480531505414,406,53,41
7.317021204417518,405,54,41
7.319187246204889,404,55,41
7.334329164576571,403,56,41
7.382046554236218,402,57,41
7.431871870254991,401,58,41
7.503438271575588,400,59,41
7.544473727705769,399,60,41
7.571931635573353,398,61,41
7.576226840851956,397,62,41
7.589011501782142,397,61,42
7.5906049808336435,397,60,43
7.600377882721043,397,59,44
7.692935140461587,397,58,45
7.728857086021173,396,59,45
7.7978924067225,395,60,45
7.818445093609948,394,61,45
7.835166143779305,393,62,45
7.8352043416837835,393,61,46
7.941563569402586,392,62,46
7.9419013101610725,391,63,46
7.94637718480086,390,64,46
7.986737098562139,389,65,46
8.011952143776536,388,66,46
8.119984573234042,387,67,46
8.156407183658072,386,68,46
8.162310608542713,385,69,46
8.1628241395156,385,68,47
8.23842404285626,385,67,48
8.257207142992767,384,68,48
8.274802166817281,383,69,48
8.302920208393209,382,70,48
8.312074915127667,381,71,48
8.32153860335668,381,70,49
8.342534110605053,380,71,49
8.362247879761307,380,70,50
8.370903462638314,380,69,51
8.383926946751066,379,70,51
8.389746535889218,379,69,52
8.43789632565052,379,68,53
8.444302944806939,379,67,54
8.471766519068774,378,68,54
8.476516388713394,378,67,55
8.561020167030497,377,68,55
8.637718362778307,377,67,56
8.690346262847951,376,68,56
8.702771281525381,375,69,56
8.709257752652674,374,70,56
8.72800699977014,373,71,56
8.740404369405368,372,72,56
8.747498665729687,371,73,56
8.827839359132653,370,74,56
8.842507154632285,369,75,56
8.87748632721148,369,74,57
8.894587934068602,369,73,58
8.955124370453596,369,72,59
8.956705155045436,369,71,60
8.968977725308827,368,72,60
8.982058959596557,367,73,60
9.075649473892927,366,74,60
9.083828353121417,366,73,61
9.13448911698771,366,72,62
